Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/21/2025,03/23/2025,UOFU PHARMACY MYCHART,Health & Wellness,Sale,-9.00,
03/21/2025,03/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,429.35,
03/14/2025,03/16/2025,PP*GOOGLE STRAVA INC,Entertainment,Sale,-84.99,
03/13/2025,03/14/2025,GOOGLE *FIBER 3xRGx6,Bills & Utilities,Sale,-71.40,
03/13/2025,03/14/2025,PP*GOOGLE EXPRESSVPN,Entertainment,Sale,-106.24,
03/06/2025,03/10/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
03/08/2025,03/09/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
03/08/2025,03/09/2025,UBER   *TRIP,Travel,Sale,-11.69,
03/05/2025,03/06/2025,HLU*HULUPLUS,Bills & Utilities,Sale,-10.81,
03/04/2025,03/04/2025,GOOGLE *YouTubePremium,Shopping,Sale,-13.99,
02/27/2025,02/28/2025,VETSOURCE,Personal,Sale,-74.68,
02/23/2025,02/24/2025,VIVINT CITIZ*PMT 58 OF 60,Personal,Sale,-63.44,
02/22/2025,02/23/2025,RADIAN WEAPONS,Shopping,Sale,-75.71,
02/18/2025,02/20/2025,HOMEDEPOT.COM,Home,Sale,-7.58,
02/18/2025,02/20/2025,HOMEDEPOT.COM,Home,Sale,-24.30,
02/18/2025,02/20/2025,HOMEDEPOT.COM,Home,Sale,-43.27,
02/13/2025,02/14/2025,GOOGLE *FIBER L3FxxN,Bills & Utilities,Sale,-71.40,
02/06/2025,02/10/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
02/07/2025,02/09/2025,HOMEAGAIN 888-466-3242,Personal,Sale,-24.99,
02/08/2025,02/09/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
02/06/2025,02/07/2025,Payment Thank You - Web,,Payment,3529.38,
02/06/2025,02/07/2025,RADIAN WEAPONS,Shopping,Sale,-86.55,
02/03/2025,02/04/2025,GOOGLE *YouTubePremium,Shopping,Sale,-13.99,
01/30/2025,01/31/2025,Safeco Corporation,Bills & Utilities,Sale,-2352.30,
01/28/2025,01/29/2025,BUTCHERBOX  LLC,Groceries,Sale,-315.18,
01/25/2025,01/28/2025,Trezor.io order 173782372,Shopping,Sale,-79.00,
01/23/2025,01/24/2025,VIVINT CITIZ*PMT 57 OF 60,Personal,Sale,-63.44,
01/22/2025,01/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,1035.57,
01/13/2025,01/14/2025,GOOGLE *FIBER QKFQQS,Bills & Utilities,Sale,-71.40,
01/10/2025,01/10/2025,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
01/07/2025,01/10/2025,INTERMOUNTAIN FARMERS ASS,Food & Drink,Sale,-264.97,
01/06/2025,01/09/2025,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
01/06/2025,01/07/2025,PAYPAL *OCHOSOCIETY,Gifts & Donations,Sale,-308.00,
01/03/2025,01/05/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.99,
12/27/2024,12/29/2024,MASSAGE ENVY - 0186,Health & Wellness,Sale,-15.00,
12/25/2024,12/25/2024,WF *WAYFAIR4348957212,Home,Sale,-420.23,
12/23/2024,12/24/2024,VIVINT CITIZ*PMT 56 OF 60,Personal,Sale,-63.44,
12/22/2024,12/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,871.20,
12/21/2024,12/22/2024,UOFU PHARMACY MYCHART,Health & Wellness,Sale,-8.32,
12/13/2024,12/15/2024,GOOGLE *FIBER CPx9RK,Bills & Utilities,Sale,-71.40,
12/14/2024,12/15/2024,WALMART.COM,Shopping,Sale,-63.96,
12/13/2024,12/15/2024,MASSAGE ENVY - 0186,Health & Wellness,Sale,-15.00,
12/12/2024,12/13/2024,SLAPFISH,Food & Drink,Sale,-16.00,
12/10/2024,12/10/2024,PP*GOOGLE GOOGLE ONE,Entertainment,Sale,-2.11,
12/06/2024,12/09/2024,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
12/05/2024,12/06/2024,CBDFX,Shopping,Sale,-56.56,
12/04/2024,12/05/2024,DD *DOORDASH MUMBAIHOU,Food & Drink,Sale,-48.58,
12/03/2024,12/04/2024,GOOGLE *YouTubePremium,Shopping,Sale,-13.99,
12/01/2024,12/01/2024,UBER   *TRIP,Travel,Sale,-22.02,
11/28/2024,11/29/2024,BUTCHERBOX  LLC,Groceries,Sale,-174.07,
11/26/2024,11/26/2024,LYFT   *1 RIDE 11-24,Travel,Sale,-29.89,
11/23/2024,11/25/2024,VIVINT CITIZ*PMT 55 OF 60,Personal,Sale,-63.44,
11/22/2024,11/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,401.64,
11/13/2024,11/14/2024,Google FIBER ZZGJQL,Entertainment,Sale,-71.40,
11/05/2024,11/08/2024,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
11/05/2024,11/05/2024,LYFT   *1 RIDE 11-03,Travel,Sale,-9.74,
11/03/2024,11/04/2024,Google YouTubePremium,Entertainment,Sale,-13.99,
11/04/2024,11/04/2024,LYFT   *1 RIDE 11-02,Travel,Sale,-7.96,
11/01/2024,11/03/2024,DD *DOORDASH MUMBAIHOU,Food & Drink,Sale,-63.11,
10/18/2024,11/01/2024,REBILL-CLEAR  *CLEARME.CO,Personal,Adjustment,-199.00,
10/30/2024,10/31/2024,VETSOURCE,Personal,Sale,-50.63,
10/28/2024,10/29/2024,BUDGET.COM PREPAY,Travel,Sale,-361.93,
10/28/2024,10/29/2024,CLEAR  *clearme.com,Personal,Return,199.00,
10/18/2024,10/27/2024,CLEAR  *clearme.com,Personal,Adjustment,199.00,
10/23/2024,10/24/2024,VIVINT CITIZ*PMT 54 OF 60,Personal,Sale,-63.44,
10/22/2024,10/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,576.76,
10/18/2024,10/20/2024,CLEAR  *clearme.com,Personal,Sale,-199.00,
10/13/2024,10/14/2024,Google FIBER 42K7LP,Shopping,Sale,-71.40,
10/10/2024,10/11/2024,JERSEY MIKES ONLINE UC,Food & Drink,Sale,-12.79,
10/10/2024,10/11/2024,CBDFX,Shopping,Sale,-56.56,
10/05/2024,10/08/2024,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
10/03/2024,10/04/2024,Google YouTubePremium,Shopping,Sale,-13.99,
09/30/2024,10/01/2024,GIFTSFORUU,Shopping,Sale,-32.98,
09/28/2024,09/30/2024,INTERMOUNTAIN FARMERS ASS,Food & Drink,Sale,-145.41,
09/28/2024,09/29/2024,BUTCHERBOX  LLC,Groceries,Sale,-174.07,
09/23/2024,09/24/2024,VIVINT CITIZ*PMT 53 OF 60,Personal,Sale,-63.44,
09/22/2024,09/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,1423.32,
09/19/2024,09/20/2024,DD *DOORDASH MUMBAIHOU,Food & Drink,Sale,-59.28,
09/19/2024,09/20/2024,VETSOURCE,Personal,Sale,-128.96,
09/16/2024,09/16/2024,LYFT   *2 RIDES 09-14,Travel,Sale,-20.56,
09/13/2024,09/15/2024,Google FIBER 5DvSBV,Professional Services,Sale,-71.40,
09/13/2024,09/15/2024,CHIPDROP,Shopping,Sale,-20.00,
09/12/2024,09/12/2024,PP*GOOGLE FITBIT LLC,Entertainment,Sale,-14.06,
09/08/2024,09/09/2024,UOFU PHARMACY MYCHART,Health & Wellness,Sale,-8.35,
09/05/2024,09/09/2024,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
09/04/2024,09/05/2024,GREAT BASIN SEED,Shopping,Sale,-61.99,
09/03/2024,09/04/2024,Google YouTubePremium,Shopping,Sale,-13.99,
08/28/2024,08/28/2024,CHASEHATCHERY LLC,Professional Services,Sale,-84.73,
08/23/2024,08/25/2024,VIVINT CITIZ*PMT 52 OF 60,Personal,Sale,-63.44,
08/21/2024,08/23/2024,TIL*RZ COMMONWEALTH RO,Food & Drink,Sale,-23.00,
08/22/2024,08/23/2024,WWW.THECOMPLEXS* TVBOO,Entertainment,Sale,-85.76,
08/22/2024,08/23/2024,UBER   *TRIP,Travel,Sale,-13.00,
08/22/2024,08/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,3105.87,
08/20/2024,08/22/2024,HOV2,Shopping,Sale,-96.11,
08/22/2024,08/22/2024,LETTUCE,Shopping,Sale,-30.00,
08/22/2024,08/22/2024,UBER   *TRIP,Travel,Sale,-8.45,
08/16/2024,08/18/2024,PILOT_00774,Gas,Sale,-35.42,
08/15/2024,08/16/2024,CBDFX,Shopping,Sale,-56.56,
08/13/2024,08/15/2024,TST*TSUNAMI - SUGARHOUSE,Food & Drink,Sale,-83.19,
08/15/2024,08/15/2024,LYFT   *1 RIDE 08-13,Travel,Sale,-98.88,
08/14/2024,08/14/2024,LYFT   *1 RIDE 08-12,Travel,Sale,-99.97,
08/13/2024,08/14/2024,UBER   TRIP,Travel,Sale,-28.64,
08/11/2024,08/14/2024,KAFE RIMON,Food & Drink,Sale,-5.38,
08/11/2024,08/14/2024,KAFE RIMON,Food & Drink,Sale,-24.74,
08/12/2024,08/13/2024,Viasat In-Flight Wi-Fi,Bills & Utilities,Sale,-14.99,
08/13/2024,08/13/2024,GOOGLE *FIBER xZ7BNF,Bills & Utilities,Sale,-71.40,
08/09/2024,08/11/2024,IRIT BAHAR,Home,Sale,-11.97,
08/09/2024,08/11/2024,EILY KAUFMAN,Home,Sale,-29.26,
08/05/2024,08/08/2024,SUPER SOAPER CAR WASH,Automotive,Sale,-30.00,
08/04/2024,08/05/2024,Viasat In-Flight Wi-Fi,Bills & Utilities,Sale,-5.99,
08/02/2024,08/05/2024,HOV2,Shopping,Sale,-62.06,
08/05/2024,08/05/2024,LYFT   *1 RIDE 08-03,Travel,Sale,-29.00,
08/04/2024,08/05/2024,UBER   TRIP,Travel,Sale,-91.78,
08/04/2024,08/05/2024,UBER   TRIP,Travel,Sale,-60.05,
08/03/2024,08/04/2024,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-13.99,
07/31/2024,08/01/2024,DD *DOORDASH MUMBAIHOU,Food & Drink,Sale,-59.28,
