Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/15/2025,08/15/2025,Payment Thank You - Web,,Payment,2000.00,
08/12/2025,08/14/2025,HABIT FARMINGTON #70,Food & Drink,Sale,-12.72,
08/07/2025,08/13/2025,Returned Payment,,Reversal,-6444.07,
08/12/2025,08/13/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-36.07,
08/10/2025,08/12/2025,DEL TACO #272,Food & Drink,Sale,-13.25,
08/11/2025,08/11/2025,AMAZON MKTPL*SS3PS29B3,Shopping,Sale,-45.39,
08/10/2025,08/11/2025,ERACTOLL 573219155,Travel,Sale,-14.05,
08/08/2025,08/10/2025,STARLINK INTERNET,Bills & Utilities,Sale,-50.00,
08/07/2025,08/10/2025,DEL TACO #272,Food & Drink,Sale,-14.43,
08/08/2025,08/10/2025,DEL TACO #272,Food & Drink,Sale,-5.30,
08/08/2025,08/10/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-31.91,
08/08/2025,08/10/2025,MAVERIK CNTRY STRE 323,Gas,Sale,-10.27,
08/07/2025,08/07/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-143.77,
08/05/2025,08/07/2025,CHICK-FIL-A #03538,Food & Drink,Sale,-10.55,
08/07/2025,08/07/2025,Payment Thank You - 2nd A,,Payment,6444.07,
08/06/2025,08/07/2025,AMAZON MKTPL*QV6233I73,Shopping,Sale,-55.59,
08/04/2025,08/07/2025,Returned Payment,,Reversal,-6444.07,
08/05/2025,08/06/2025,BLOSSOMUP.CO#VJG43DQ4,Education,Sale,-29.95,
08/05/2025,08/06/2025,SALT LAKE TENNIS,Health & Wellness,Sale,-440.00,
08/05/2025,08/06/2025,ERACTOLL 573219155,Travel,Sale,-14.05,
08/04/2025,08/05/2025,AMAZON MKTPL*1L09F2SQ3,Shopping,Sale,-17.14,
08/05/2025,08/05/2025,AMAZON MKTPL*XD00268U3,Shopping,Sale,-92.95,
08/04/2025,08/04/2025,AUTOMATIC PAYMENT - THANK,,Payment,6444.07,
