Description,Count,Total,Monthly Average
CHASE CREDIT CRD AUTOPAY PPD ID,24,$31667.67,$2638.97
COINBASE INC RTL FDZ JV WEB ID,2,$1500.00,$125.00
DOMINION ENERGY QGC PPD ID,13,$1191.81,$99.32
FID BKG SVC LLC MONEYLINE PPD ID,2,$27000.00,$2250.00
NEW AMERICAN FND HOME LOAN WEB ID,13,$22704.66,$1892.05
ONLINE TRANSFER TO SOFI HYS TRANSACTION,2,$8122.00,$676.83
PAYMENT TO CHASE CARD ENDING IN,7,$23407.09,$1950.59
ROCKYMTN PACIFIC POWER BILL ACHPAY CCD ID,12,$2599.73,$216.64
SLC UTILITIES PAYMENT WEB ID,13,$2153.25,$179.44
SYNCHRONY BANK ONLINEPYMT WEB ID,11,$4235.00,$352.92
VENMO ADDFUNDS WEB ID,3,$2000.00,$166.67
VENMO PAYMENT WEB ID,9,$2540.81,$211.73
WITHDRAWAL,4,$5000.00,$416.67
ZELLE PAYMENT TO JULIA EFREMOVA JPM ASGDYKZ,2,$2500.00,$208.33
ZELLE PAYMENT TO JULIA EFREMOVA JPM BHQH PN,21,$27040.00,$2253.33
